sentence,type,object number,formatted sentence,selected option,time,is_match
add item,kebab,1,add-item,add-item,5.050,True
calculate sum,kebab,1,calculate-sum,calculate-sun,2.400,False
find user,kebab,1,find-user,find-usher,1.500,False
load file,kebab,1,load-file,lead-file,11.000,False
send email,kebab,1,send-email,send-email,0.500,True
create account,kebab,1,create-account,create-account,2.000,True
update record,kebab,1,update-record,update-record,6.000,True
delete user,kebab,1,delete-user,delete-user,3.100,True
search item,kebab,1,search-item,search-item,3.000,True
play video,kebab,1,play-video,play-veto,6.100,False
add item,camelCase,1,addItem,addItem,5.000,True
calculate sum,camelCase,1,calculateSum,calculateSum,2.400,True
find user,camelCase,1,findUser,findUser,2.450,True
load file,camelCase,1,loadFile,leadFile,4.100,False
send email,camelCase,1,sendEmail,sendEmail,3.100,True
create account,camelCase,1,createAccount,createAccount,2.380,True
update record,camelCase,1,updateRecord,updateRecord,4.490,True
delete user,camelCase,1,deleteUser,delteUser,3.540,False
search item,camelCase,1,searchItem,searchItem,1.345,True
play video,camelCase,1,playVideo,playVideo,3.910,True
add item,kebab,2,add-item,add-item,2.234,True
load file,camelCase,2,loadFile,loadFile,3.648,True
send email,kebab,2,send-email,send-email,3.579,True
update record,camelCase,2,updateRecord,updateRecord,2.903,True
play video,camelCase,2,playVideo,playVideo,2.720,True
search item,kebab,2,search-item,search-item,3.094,True
play video,kebab,2,play-video,play-video,1.683,True
add item,camelCase,2,addItem,addItem,3.430,True
calculate sum,camelCase,2,calculateSum,calculateSum,2.674,True
find user,camelCase,2,findUser,findUser,2.278,True
send email,camelCase,2,sendEmail,sendEmail,5.171,True
calculate sum,kebab,2,calculate-sum,calculate-sum,2.303,True
find user,kebab,2,find-user,find-user,2.848,True
find user,camelCase,2,findUser,findUser,2.911,True
create account,camelCase,2,createAccount,createAccount,2.292,True
update record,kebab,2,update-record,update-record,3.268,True
delete user,kebab,2,delete-user,delete-user,3.418,True
load file,kebab,2,load-file,load-file,4.992,True
delete user,camelCase,2,deleteUser,deleteUser,3.213,True
search item,camelCase,2,searchItem,searchItem,4.443,True
delete user,kebab,2,delete-user,delete-user,2.647,True
load file,kebab,2,load-file,load-file,2.625,True
add item,kebab,3,add-item,add-item,2.345,True
load file,camelCase,3,loadFile,loadFile,2.466,True
send email,kebab,3,send-email,send-email,2.108,True
update record,camelCase,3,updateRecord,updateRecord,2.710,True
play video,camelCase,3,playVideo,playVideo,1.811,True
search item,kebab,3,search-item,search-item,2.131,True
play video,kebab,3,play-video,plate-video,1.749,False
add item,camelCase,3,addItem,addItem,2.698,True
calculate sum,camelCase,3,calculateSum,calculateSum,2.713,True
find user,camelCase,3,findUser,findUser,1.185,True
send email,camelCase,3,sendEmail,sendEmail,1.305,True
calculate sum,kebab,3,calculate-sum,calculate-sum,3.419,True
find user,kebab,3,find-user,find-use,0.843,False
find user,camelCase,3,findUser,findUser,2.077,True
